학번,이름,이메일,폰번호,보호자폰번호
10101,박우진,s10101@sungui.hs.kr,010-1842-4021,010-6181-5081
10102,장도윤,s10102@sungui.hs.kr,010-4021-1516,010-5081-9302
10103,이예은,s10103@sungui.hs.kr,010-1516-8976,010-9302-3640
10104,문시우,s10104@sungui.hs.kr,010-8976-1974,010-3640-4998
10105,박서연,s10105@sungui.hs.kr,010-1974-5394,010-4998-6077
10106,서민서,s10106@sungui.hs.kr,010-5394-5063,010-6077-7535
10107,오민준,s10107@sungui.hs.kr,010-5063-1070,010-7535-1437
10108,김서준,s10108@sungui.hs.kr,010-1070-1306,010-1437-9023
10109,김수아,s10109@sungui.hs.kr,010-1306-7485,010-9023-4669
10110,류유진,s10110@sungui.hs.kr,010-7485-8509,010-4669-7333
10201,홍지수,s10201@sungui.hs.kr,010-8509-9129,010-7333-6960
10202,문서현,s10202@sungui.hs.kr,010-9129-5985,010-6960-2986
10203,신윤서,s10203@sungui.hs.kr,010-5985-6908,010-2986-4132
10204,안채원,s10204@sungui.hs.kr,010-6908-7157,010-4132-1861
10205,송다현,s10205@sungui.hs.kr,010-7157-9513,010-1861-6607
10206,양민지,s10206@sungui.hs.kr,010-9513-6272,010-6607-4302
10207,권도현,s10207@sungui.hs.kr,010-6272-3325,010-4302-3484
10208,조도윤,s10208@sungui.hs.kr,010-3325-1499,010-3484-9983
10209,이윤서,s10209@sungui.hs.kr,010-1499-7013,010-9983-1294
10210,안하준,s10210@sungui.hs.kr,010-7013-2468,010-1294-5080
10301,정예준,s10301@sungui.hs.kr,010-2468-1856,010-5080-2802
10302,박서현,s10302@sungui.hs.kr,010-1856-5986,010-2802-5088
10303,신채은,s10303@sungui.hs.kr,010-5986-8352,010-5088-1537
10304,홍현우,s10304@sungui.hs.kr,010-8352-3088,010-1537-2978
10305,강유진,s10305@sungui.hs.kr,010-3088-8610,010-2978-1621
10306,고서준,s10306@sungui.hs.kr,010-8610-1358,010-1621-6595
10307,김민준,s10307@sungui.hs.kr,010-1358-1091,010-6595-6353
10308,김지아,s10308@sungui.hs.kr,010-1091-7655,010-6353-5395
10309,류하은,s10309@sungui.hs.kr,010-7655-6454,010-5395-2203
10310,황민준,s10310@sungui.hs.kr,010-6454-1183,010-2203-8267
10401,김민준,s10401@sungui.hs.kr,010-1183-1208,010-8267-2628
10402,김서준,s10402@sungui.hs.kr,010-1208-1429,010-2628-6129
10403,이도현,s10403@sungui.hs.kr,010-1429-3356,010-6129-4129
10404,조유진,s10404@sungui.hs.kr,010-3356-8444,010-4129-9275
10405,홍현우,s10405@sungui.hs.kr,010-8444-3217,010-9275-9269
10406,조수아,s10406@sungui.hs.kr,010-3217-7314,010-9269-4395
10407,송도현,s10407@sungui.hs.kr,010-7314-3462,010-4395-1522
10408,조지호,s10408@sungui.hs.kr,010-3462-2727,010-1522-4978
10409,정민서,s10409@sungui.hs.kr,010-2727-5128,010-4978-6468
10410,오우진,s10410@sungui.hs.kr,010-5128-4123,010-6468-7749
10501,장다은,s10501@sungui.hs.kr,010-4123-8196,010-7749-7457
10502,전민준,s10502@sungui.hs.kr,010-8196-1219,010-7457-5626
10503,김예은,s10503@sungui.hs.kr,010-1219-8971,010-5626-2190
10504,문지우,s10504@sungui.hs.kr,010-8971-5911,010-2190-3682
10505,신준서,s10505@sungui.hs.kr,010-5911-2860,010-3682-2693
10506,강민서,s10506@sungui.hs.kr,010-2860-5131,010-2693-5684
10507,오도윤,s10507@sungui.hs.kr,010-5131-1536,010-5684-7482
10508,이서윤,s10508@sungui.hs.kr,010-1536-5662,010-7482-9450
10509,서주원,s10509@sungui.hs.kr,010-5662-2348,010-9450-4156
10510,최예준,s10510@sungui.hs.kr,010-2348-1767,010-4156-3386
10601,박지우,s10601@sungui.hs.kr,010-1767-5829,010-3386-9305
10602,신민서,s10602@sungui.hs.kr,010-5829-5253,010-9305-3087
10603,오민지,s10603@sungui.hs.kr,010-5253-6250,010-3087-4008
10604,권민서,s10604@sungui.hs.kr,010-6250-5178,010-4008-5133
10605,오다은,s10605@sungui.hs.kr,010-5178-8057,010-5133-9028
10606,전지호,s10606@sungui.hs.kr,010-8057-2796,010-9028-9445
10607,정현준,s10607@sungui.hs.kr,010-2796-4422,010-9445-6726
10608,임채은,s10608@sungui.hs.kr,010-4422-8405,010-6726-1520
10609,홍하은,s10609@sungui.hs.kr,010-8405-6421,010-1520-3332
10610,황지호,s10610@sungui.hs.kr,010-6421-2600,010-3332-4048
10701,정우진,s10701@sungui.hs.kr,010-2600-4119,010-4048-9189
10702,장현준,s10702@sungui.hs.kr,010-4119-4419,010-9189-7012
10703,임도현,s10703@sungui.hs.kr,010-4419-3251,010-7012-8874
10704,조윤서,s10704@sungui.hs.kr,010-3251-6940,010-8874-5564
10705,안서준,s10705@sungui.hs.kr,010-6940-1321,010-5564-1400
10706,김채은,s10706@sungui.hs.kr,010-1321-8296,010-1400-5663
10707,홍현우,s10707@sungui.hs.kr,010-8296-3235,010-5663-8758
10708,조준서,s10708@sungui.hs.kr,010-3235-2897,010-8758-8892
10709,강지아,s10709@sungui.hs.kr,010-2897-7647,010-8892-3059
10710,류서현,s10710@sungui.hs.kr,010-7647-6113,010-3059-9612
10801,권우진,s10801@sungui.hs.kr,010-6113-4081,010-9612-8123
10802,장지아,s10802@sungui.hs.kr,010-4081-7596,010-8123-7896
10803,류다은,s10803@sungui.hs.kr,010-7596-8033,010-7896-7089
10804,전준서,s10804@sungui.hs.kr,010-8033-2902,010-7089-5915
10805,강민준,s10805@sungui.hs.kr,010-2902-1156,010-5915-6928
10806,김지호,s10806@sungui.hs.kr,010-1156-2618,010-6928-2324
10807,정채원,s10807@sungui.hs.kr,010-2618-7100,010-2324-5087
10808,안다은,s10808@sungui.hs.kr,010-7100-8075,010-5087-5264
10809,전서연,s10809@sungui.hs.kr,010-8075-5321,010-5264-2393
10810,서준서,s10810@sungui.hs.kr,010-5321-2806,010-2393-1964
10901,강하윤,s10901@sungui.hs.kr,010-2806-6730,010-1964-7120
10902,황서윤,s10902@sungui.hs.kr,010-6730-5656,010-7120-5225
10903,서도윤,s10903@sungui.hs.kr,010-5656-1660,010-5225-6957
10904,이지호,s10904@sungui.hs.kr,010-1660-2769,010-6957-7131
10905,정다은,s10905@sungui.hs.kr,010-2769-8059,010-7131-7723
10906,전지호,s10906@sungui.hs.kr,010-8059-2744,010-7723-7416
10907,정채원,s10907@sungui.hs.kr,010-2744-7149,010-7416-5230
10908,송윤서,s10908@sungui.hs.kr,010-7149-6875,010-5230-9328
10909,안지아,s10909@sungui.hs.kr,010-6875-7733,010-9328-9390
10910,류민준,s10910@sungui.hs.kr,010-7733-1184,010-9390-7997
11001,김우진,s11001@sungui.hs.kr,010-1184-4083,010-7997-7191
11002,장수아,s11002@sungui.hs.kr,010-4083-7463,010-7191-7479
11003,송민준,s11003@sungui.hs.kr,010-7463-1200,010-7479-7790
11004,김채원,s11004@sungui.hs.kr,010-1200-7258,010-7790-1158
11005,송현준,s11005@sungui.hs.kr,010-7258-4521,010-1158-3885
11006,임지아,s11006@sungui.hs.kr,010-4521-7657,010-3885-1929
11007,류지훈,s11007@sungui.hs.kr,010-7657-3523,010-1929-9710
11008,윤지수,s11008@sungui.hs.kr,010-3523-9226,010-9710-3769
11009,문민서,s11009@sungui.hs.kr,010-9226-5165,010-3769-5102
11010,오예린,s11010@sungui.hs.kr,010-5165-9762,010-5102-9615
11101,손서현,s11101@sungui.hs.kr,010-9762-6159,010-9615-9345
11102,권건우,s11102@sungui.hs.kr,010-6159-3872,010-9345-5132
11103,윤지우,s11103@sungui.hs.kr,010-3872-5725,010-5132-8905
11104,신다은,s11104@sungui.hs.kr,010-5725-8087,010-8905-6946
11105,전예은,s11105@sungui.hs.kr,010-8087-9024,010-6946-4510
11106,문수아,s11106@sungui.hs.kr,010-9024-7337,010-4510-2855
11107,송서연,s11107@sungui.hs.kr,010-7337-5369,010-2855-1058
11108,서윤서,s11108@sungui.hs.kr,010-5369-7057,010-1058-7267
11109,안지우,s11109@sungui.hs.kr,010-7057-5894,010-7267-6575
11110,신민준,s11110@sungui.hs.kr,010-5894-1059,010-6575-6726
11201,김서진,s11201@sungui.hs.kr,010-1059-4978,010-6726-5591
11202,오건우,s11202@sungui.hs.kr,010-4978-3731,010-5591-6648
11203,윤서연,s11203@sungui.hs.kr,010-3731-5308,010-6648-9626
11204,오서현,s11204@sungui.hs.kr,010-5308-5982,010-9626-7449
11205,신우진,s11205@sungui.hs.kr,010-5982-4044,010-7449-9683
11206,장예린,s11206@sungui.hs.kr,010-4044-9765,010-9683-9187
11207,손건우,s11207@sungui.hs.kr,010-9765-3844,010-9187-6813
11208,윤서준,s11208@sungui.hs.kr,010-3844-1291,010-6813-2496
11209,김지수,s11209@sungui.hs.kr,010-1291-9191,010-2496-3856
11210,문도윤,s11210@sungui.hs.kr,010-9191-1604,010-3856-8250
11301,이도윤,s11301@sungui.hs.kr,010-1604-1560,010-8250-5933
11302,이윤서,s11302@sungui.hs.kr,010-1560-6880,010-5933-2487
11303,안다은,s11303@sungui.hs.kr,010-6880-8027,010-2487-9281
11304,전예준,s11304@sungui.hs.kr,010-8027-1675,010-9281-3624
11305,이다은,s11305@sungui.hs.kr,010-1675-8051,010-3624-1481
11306,전서진,s11306@sungui.hs.kr,010-8051-4917,010-1481-1920
11307,한다은,s11307@sungui.hs.kr,010-4917-8113,010-1920-9518
11308,전예준,s11308@sungui.hs.kr,010-8113-1848,010-9518-8122
11309,박서연,s11309@sungui.hs.kr,010-1848-5323,010-8122-4986
11310,서시우,s11310@sungui.hs.kr,010-5323-1931,010-4986-5112
11401,박지우,s11401@sungui.hs.kr,010-1931-5928,010-5112-2376
11402,신민재,s11402@sungui.hs.kr,010-5928-4150,010-2376-1100
11403,장우진,s11403@sungui.hs.kr,010-4150-3965,010-1100-7208
11404,장서진,s11404@sungui.hs.kr,010-3965-4904,010-7208-5429
11405,한지훈,s11405@sungui.hs.kr,010-4904-3504,010-5429-6975
11406,조예린,s11406@sungui.hs.kr,010-3504-9772,010-6975-7051
11407,손다현,s11407@sungui.hs.kr,010-9772-9348,010-7051-9726
11408,양예린,s11408@sungui.hs.kr,010-9348-9643,010-9726-6807
11409,손하준,s11409@sungui.hs.kr,010-9643-2548,010-6807-9005
11410,정도윤,s11410@sungui.hs.kr,010-2548-1584,010-9005-6247
11501,이민준,s11501@sungui.hs.kr,010-1584-1107,010-6247-4920
11502,김민재,s11502@sungui.hs.kr,010-1107-4364,010-4920-1931
11503,임민준,s11503@sungui.hs.kr,010-4364-1208,010-1931-2747
11504,김수아,s11504@sungui.hs.kr,010-1208-7411,010-2747-4828
11505,송은서,s11505@sungui.hs.kr,010-7411-8858,010-4828-8226
11506,고서연,s11506@sungui.hs.kr,010-8858-5304,010-8226-5581
11507,오지아,s11507@sungui.hs.kr,010-5304-7731,010-5581-7995
11508,류지아,s11508@sungui.hs.kr,010-7731-7590,010-7995-8206
11509,류지수,s11509@sungui.hs.kr,010-7590-9122,010-8206-5947
11510,문지수,s11510@sungui.hs.kr,010-9122-9112,010-5947-2597
11601,문서현,s11601@sungui.hs.kr,010-9112-6120,010-2597-5567
11602,권수아,s11602@sungui.hs.kr,010-6120-7338,010-5567-4421
11603,송지민,s11603@sungui.hs.kr,010-7338-7845,010-4421-4249
11604,전수민,s11604@sungui.hs.kr,010-7845-9945,010-4249-2787
11605,손하은,s11605@sungui.hs.kr,010-9945-6559,010-2787-5286
11606,황유진,s11606@sungui.hs.kr,010-6559-8489,010-5286-5509
11607,홍도현,s11607@sungui.hs.kr,010-8489-3450,010-5509-4890
11608,조서윤,s11608@sungui.hs.kr,010-3450-5597,010-4890-3966
11609,서민지,s11609@sungui.hs.kr,010-5597-6291,010-3966-3846
11610,권서현,s11610@sungui.hs.kr,010-6291-6071,010-3846-3114
11701,권우진,s11701@sungui.hs.kr,010-6071-3994,010-3114-5312
11702,장건우,s11702@sungui.hs.kr,010-3994-3878,010-5312-7998
11703,윤서진,s11703@sungui.hs.kr,010-3878-4969,010-7998-2067
11704,오민재,s11704@sungui.hs.kr,010-4969-4260,010-2067-9273
11705,임서현,s11705@sungui.hs.kr,010-4260-6047,010-9273-7202
11706,권지수,s11706@sungui.hs.kr,010-6047-9299,010-7202-5841
11707,양서윤,s11707@sungui.hs.kr,010-9299-5701,010-5841-9984
11708,신현준,s11708@sungui.hs.kr,010-5701-4567,010-9984-3729
11709,임주원,s11709@sungui.hs.kr,010-4567-2301,010-3729-1731
11710,최민준,s11710@sungui.hs.kr,010-2301-1028,010-1731-7757
20101,김선우,s20101@sungui.hs.kr,010-1028-4755,010-7757-5152
20102,한지호,s20102@sungui.hs.kr,010-4755-2784,010-5152-3088
20103,정예린,s20103@sungui.hs.kr,010-2784-9678,010-3088-4563
20104,손지수,s20104@sungui.hs.kr,010-9678-9117,010-4563-7259
20105,문지민,s20105@sungui.hs.kr,010-9117-7753,010-7259-5010
20106,류하윤,s20106@sungui.hs.kr,010-7753-6709,010-5010-5581
20107,황서윤,s20107@sungui.hs.kr,010-6709-5689,010-5581-5856
20108,신서연,s20108@sungui.hs.kr,010-5689-5402,010-5856-8132
20109,서서연,s20109@sungui.hs.kr,010-5402-5386,010-8132-7631
20110,서하준,s20110@sungui.hs.kr,010-5386-2553,010-7631-7492
20201,정다현,s20201@sungui.hs.kr,010-2553-9432,010-7492-6080
20202,양건우,s20202@sungui.hs.kr,010-9432-3848,010-6080-7108
20203,윤현우,s20203@sungui.hs.kr,010-3848-3075,010-7108-2104
20204,강채원,s20204@sungui.hs.kr,010-3075-7281,010-2104-6717
20205,송현우,s20205@sungui.hs.kr,010-7281-3102,010-6717-7738
20206,강은서,s20206@sungui.hs.kr,010-3102-8689,010-7738-3737
20207,고지훈,s20207@sungui.hs.kr,010-8689-3628,010-3737-2091
20208,윤예은,s20208@sungui.hs.kr,010-3628-8999,010-2091-8803
20209,문지우,s20209@sungui.hs.kr,010-8999-5781,010-8803-2570
20210,신서준,s20210@sungui.hs.kr,010-5781-1226,010-2570-2295
20301,김민준,s20301@sungui.hs.kr,010-1226-1053,010-2295-9087
20302,김윤서,s20302@sungui.hs.kr,010-1053-6852,010-9087-1470
20303,안주원,s20303@sungui.hs.kr,010-6852-2263,010-1470-3065
20304,최유진,s20304@sungui.hs.kr,010-2263-8522,010-3065-8626
20305,홍도윤,s20305@sungui.hs.kr,010-8522-1510,010-8626-6408
20306,이민서,s20306@sungui.hs.kr,010-1510-5210,010-6408-8321
20307,오은서,s20307@sungui.hs.kr,010-5210-8737,010-8321-8282
20308,고채원,s20308@sungui.hs.kr,010-8737-7249,010-8282-6364
20309,송지호,s20309@sungui.hs.kr,010-7249-2710,010-6364-3569
20310,정서윤,s20310@sungui.hs.kr,010-2710-5635,010-3569-1149
20401,서지아,s20401@sungui.hs.kr,010-5635-7648,010-1149-6160
20402,류하준,s20402@sungui.hs.kr,010-7648-2572,010-6160-3576
20403,정민지,s20403@sungui.hs.kr,010-2572-6353,010-3576-6827
20404,권선우,s20404@sungui.hs.kr,010-6353-4617,010-6827-4964
20405,한도현,s20405@sungui.hs.kr,010-4617-3387,010-4964-1032
20406,조민재,s20406@sungui.hs.kr,010-3387-4242,010-1032-9344
20407,임현우,s20407@sungui.hs.kr,010-4242-3246,010-9344-7028
20408,조민준,s20408@sungui.hs.kr,010-3246-1040,010-7028-1432
20409,김현준,s20409@sungui.hs.kr,010-1040-4395,010-1432-9648
20410,임민지,s20410@sungui.hs.kr,010-4395-6372,010-9648-4046
20501,권현우,s20501@sungui.hs.kr,010-6372-3246,010-4046-7286
20502,조은서,s20502@sungui.hs.kr,010-3246-8775,010-7286-3826
20503,고서연,s20503@sungui.hs.kr,010-8775-5459,010-3826-3777
20504,서서연,s20504@sungui.hs.kr,010-5459-5348,010-3777-5714
20505,서지수,s20505@sungui.hs.kr,010-5348-9134,010-5714-9613
20506,문선우,s20506@sungui.hs.kr,010-9134-4755,010-9613-5823
20507,한서연,s20507@sungui.hs.kr,010-4755-5391,010-5823-7935
20508,서지수,s20508@sungui.hs.kr,010-5391-9257,010-7935-3616
20509,문민준,s20509@sungui.hs.kr,010-9257-1051,010-3616-1823
20510,김현우,s20510@sungui.hs.kr,010-1051-3042,010-1823-1987
20601,강윤서,s20601@sungui.hs.kr,010-3042-6879,010-1987-4448
20602,안채원,s20602@sungui.hs.kr,010-6879-7220,010-4448-1609
20603,송지아,s20603@sungui.hs.kr,010-7220-7698,010-1609-2309
20604,류하준,s20604@sungui.hs.kr,010-7698-2502,010-2309-2860
20605,정민준,s20605@sungui.hs.kr,010-2502-1146,010-2860-5149
20606,김서윤,s20606@sungui.hs.kr,010-1146-5718,010-5149-5774
20607,신하은,s20607@sungui.hs.kr,010-5718-6418,010-5774-2616
20608,황지우,s20608@sungui.hs.kr,010-6418-5780,010-2616-4519
20609,신수민,s20609@sungui.hs.kr,010-5780-9890,010-4519-6109
20610,손민재,s20610@sungui.hs.kr,010-9890-4252,010-6109-3978
20701,임도윤,s20701@sungui.hs.kr,010-4252-1579,010-3978-7628
20702,이하윤,s20702@sungui.hs.kr,010-1579-6659,010-7628-5310
20703,황현우,s20703@sungui.hs.kr,010-6659-3194,010-5310-1823
20704,조지우,s20704@sungui.hs.kr,010-3194-5870,010-1823-6389
20705,신하윤,s20705@sungui.hs.kr,010-5870-6810,010-6389-5627
20706,안서현,s20706@sungui.hs.kr,010-6810-6098,010-5627-8219
20707,권하은,s20707@sungui.hs.kr,010-6098-6577,010-8219-9688
20708,황다현,s20708@sungui.hs.kr,010-6577-9484,010-9688-4736
20709,양현우,s20709@sungui.hs.kr,010-9484-3115,010-4736-3517
20710,강예린,s20710@sungui.hs.kr,010-3115-9619,010-3517-1036
20801,양민지,s20801@sungui.hs.kr,010-9619-6377,010-1036-8803
20802,권하윤,s20802@sungui.hs.kr,010-6377-6836,010-8803-5307
20803,안예은,s20803@sungui.hs.kr,010-6836-9073,010-5307-1726
20804,문채원,s20804@sungui.hs.kr,010-9073-7251,010-1726-8291
20805,송유진,s20805@sungui.hs.kr,010-7251-8504,010-8291-2027
20806,홍서진,s20806@sungui.hs.kr,010-8504-4863,010-2027-3180
20807,한서현,s20807@sungui.hs.kr,010-4863-6131,010-3180-2779
20808,권현우,s20808@sungui.hs.kr,010-6131-3239,010-2779-4858
20809,조윤서,s20809@sungui.hs.kr,010-3239-6927,010-4858-2057
20810,안예린,s20810@sungui.hs.kr,010-6927-9770,010-2057-2185
20901,손민재,s20901@sungui.hs.kr,010-9770-4307,010-2185-8949
20902,임수아,s20902@sungui.hs.kr,010-4307-7485,010-8949-9971
20903,류하은,s20903@sungui.hs.kr,010-7485-6467,010-9971-1433
20904,황수아,s20904@sungui.hs.kr,010-6467-7447,010-1433-9558
20905,송하은,s20905@sungui.hs.kr,010-7447-6601,010-9558-3320
20906,황수민,s20906@sungui.hs.kr,010-6601-9981,010-3320-7684
20907,손서연,s20907@sungui.hs.kr,010-9981-5347,010-7684-9519
20908,서지우,s20908@sungui.hs.kr,010-5347-5913,010-9519-5467
20909,신하준,s20909@sungui.hs.kr,010-5913-2521,010-5467-9735
20910,정민재,s20910@sungui.hs.kr,010-2521-4335,010-9735-7458
21001,임서연,s21001@sungui.hs.kr,010-4335-5400,010-7458-9039
21002,서채은,s21002@sungui.hs.kr,010-5400-8335,010-9039-9667
21003,홍지훈,s21003@sungui.hs.kr,010-8335-3510,010-9667-9365
21004,조채원,s21004@sungui.hs.kr,010-3510-7266,010-9365-2183
21005,송도윤,s21005@sungui.hs.kr,010-7266-1463,010-2183-9470
21006,이하준,s21006@sungui.hs.kr,010-1463-2417,010-9470-2758
21007,최현준,s21007@sungui.hs.kr,010-2417-4501,010-2758-3548
21008,임다현,s21008@sungui.hs.kr,010-4501-9367,010-3548-7139
21009,양채원,s21009@sungui.hs.kr,010-9367-7086,010-7139-7557
21010,안시우,s21010@sungui.hs.kr,010-7086-1955,010-7557-7896
21101,박예준,s21101@sungui.hs.kr,010-1955-1692,010-7896-1043
